FECHA;PRECTOTCORR;ALLSKY_SFC_SW_DWN
20020307;0,07;26,99
20020308;0,02;24,71
20020309;0;25,23
20020310;0,51;23,03
20020311;0,36;23,34
20020312;0,01;20,25
20020313;0;22,68
20020314;0,31;21,89
20020315;1,66;18,25
20020316;0,1;18,48
20020317;0,5;19,46
20020318;1,49;21,58
20020319;0,03;19,92
20020320;7,03;17,78
20020321;0,68;14,38
20020322;0,27;13,47
20020323;4,89;20,75
20020324;0,35;21,9
20020325;0,01;24,35
20020326;0,02;24,78
20020327;0,01;23,9
20020328;19,18;22,52
20020329;3,56;20,13
20020330;0,01;22,51
20020331;0,14;20,7
20020401;0,33;21,9
20020402;2,2;19,94
20020403;0,09;21,31
20020404;0;22,19
20020405;0,62;22,63
20020406;4,78;15,14
20020407;1,9;12,59
20020408;0,41;24,02
20020409;0,42;22,02
20020410;2,16;18,72
20020411;0,37;22,57
20020412;10,29;25,32
20020413;0,56;20,74
20020414;0,09;22,82
20020415;0,37;24,23
20020416;1,15;22,78
20020417;0,22;18,03
20020418;8,07;14,75
20020419;16,54;8,13
20020420;9,49;18,76
20020421;3,61;14,68
20020422;1,32;21,27
20020423;10,73;16,51
20020424;16,54;19,85
20020425;3,51;19,38
20020426;0,3;17,86
20020427;4,7;24,44
20020428;0,25;26,8
20020429;0,12;23,37
20020430;0,02;21,38
20020501;2,49;19,26
20020502;0,35;20,25
20020503;8,27;19,74
20020504;3,04;20,26
20020505;0,2;22,76
20020506;3,25;20,69
20020507;9,1;18
20020508;0,22;19,27
20020509;2,26;21,21
20020510;6,52;19,24
20020511;0,77;14,66
20020512;0,01;24,21
20020513;0,05;21,65
20020514;0,16;18,51
20020515;0,01;20,16
20020516;0,03;17,57
20020517;3,31;18,89
20020518;1,34;15,82
20020519;0,1;19,4
20020520;0,47;22,74
20020521;0,67;15,75
20020522;3,66;17,13
20020523;1,23;20,16
20020524;0,32;22,6
20020525;3,19;17,46
20020526;24,8;10,55
20020527;15,26;14,2
20020528;3,6;16,46
20020529;6,72;13,34
20020530;6,39;17,03
20020531;2,01;15,18
20020601;5,11;24,22
20020602;2,58;22,6
20020603;0,5;20,33
20020604;10,97;20,63
20020605;7,94;11,87
20020606;31,34;14,49
20020607;3,26;12,08
20020608;0,59;18,86
20020609;0,11;17,49
20020610;0,45;22,72
20020611;2,66;20,83
20020612;0,5;22,47
20020613;0,04;24,18
20020614;0,46;23,47
20020615;0,37;22,82
20020616;0,3;22,71
20020617;4,04;20,86
20020618;0,55;15,01
20020619;0,28;22,59
20020620;3,05;21,7
20020621;0,84;21,32
20020622;0,85;18,69
20020623;0,64;18,43
20020624;0,07;22,32
20020625;0,7;22,5
20020626;0,05;22,73
20020627;0,05;22,75
20020628;1,47;22,83
20020629;0,04;17,43
20020630;0,27;21,37
20020701;0;24,39
20020702;0,02;23,94
20020703;0,51;21,5
20020704;0,03;23,21
20020705;0,14;22,71
20020706;0,4;18,85
20020707;0,03;21,77
20020708;0,18;24,43
20020709;0,1;23,25
20020710;0,79;22,57
20020711;0,25;19,45
20020712;0,09;19,4
20020713;0,33;20,15
20020714;0,83;21,02
20020715;0,24;18,01
20020716;0,21;21,86
20020717;0,42;17,9
20020718;1,51;19,37
20020719;0,7;20,92
20020720;0;21,7
20020721;1,44;24,78
20020722;0,34;25,07
20020723;31,83;24,91
20020724;10,37;22,48
20020725;0,69;15,1
20020726;0,73;21,56
20020727;3,43;20,49
20020728;0,43;20,26
20020729;0,1;24,99
20020730;0,14;24,71
20020731;0,19;17,71
20020801;0,16;21,43
20020802;0;23,99
20020803;0,1;22,71
20020804;1,41;24,31
20020805;11,17;20,62
20020806;0,3;23,32
20020807;0,34;24,56
